Item ID,Name,Value,Unit
14635233,SKU Accounting Flag,Not Found_011916_Altius
14634631,SKU Accounting Flag,Not Found_011916_Altius
14634629,SKU Accounting Flag,Not Found_011916_Altius
14634627,SKU Accounting Flag,Not Found_011916_Altius
14634625,SKU Accounting Flag,Not Found_011916_Altius
14634619,SKU Accounting Flag,Not Found_011916_Altius
14634617,SKU Accounting Flag,Not Found_011916_Altius
14634623,SKU Accounting Flag,Not Found_011916_Altius
14634621,SKU Accounting Flag,Not Found_011916_Altius
14634615,SKU Accounting Flag,Not Found_011916_Altius
14634605,SKU Accounting Flag,Not Found_011916_Altius
14634607,SKU Accounting Flag,Not Found_011916_Altius
14634613,SKU Accounting Flag,Not Found_011916_Altius
14634609,SKU Accounting Flag,Not Found_011916_Altius
14634611,SKU Accounting Flag,Not Found_011916_Altius
14634603,SKU Accounting Flag,Not Found_011916_Altius
14634599,SKU Accounting Flag,Not Found_011916_Altius
14634601,SKU Accounting Flag,Not Found_011916_Altius
14635653,HTML,http://solutions.3m.co.uk/wps/portal/3M/en_GB/ElectricalMkts/ElectricalSupplies/products/cable-jointing-resins/scotchcast-8882-electrical-reenterable-resin/
14635653,PT Sourced PDF,http://multimedia.3m.com/mws/media/603800O/3mtm-better-buried-closures-data-sheet.pdf
14635653,SKU Accounting Flag,Build_011916_Altius
14635653,Brand,3M,
14635653,Application,Water Proof Electrical,
14635653,Kit Contents,High Gel Encapsulating Compound,
14635637,PT Sourced PDF,http://multimedia.3m.com/mws/media/751992O/3mtm-scotchcast-resin-kit-92-nbc-2.pdf?fn=Datasheet%2092-NBC%202.pdf|http://multimedia.3m.com/mws/media/948709O/scotchcast-resin-40-ds.pdf
14635637,SKU Accounting Flag,Build_011916_Altius
14635637,Brand,3M,
14635637,Application,Joint Movement,
14635637,Kit Contents,"Transparent Mold Shelves with Closure Cap (2), Scotchcast 40 Resin Bag with CMP, Ore-Cut Sealing Elements, Abrasive Sponge, Instruction Sheet",
14635639,PT Sourced PDF,http://multimedia.3m.com/mws/media/751992O/3mtm-scotchcast-resin-kit-92-nbc-2.pdf?fn=Datasheet%2092-NBC%202.pdf|http://multimedia.3m.com/mws/media/948709O/scotchcast-resin-40-ds.pdf
14635639,SKU Accounting Flag,Build_011916_Altius
14635639,Brand,3M,
14635639,Application,Joint Movement,
14635639,Kit Contents,"Transparent Mold Shelves with Closure Cap (2), Scotchcast 40 Resin Bag with CMP, Ore-Cut Sealing Elements, Abrasive Sponge, Instruction Sheet",
14635641,PT Sourced PDF,http://multimedia.3m.com/mws/media/751992O/3mtm-scotchcast-resin-kit-92-nbc-2.pdf?fn=Datasheet%2092-NBC%202.pdf|http://multimedia.3m.com/mws/media/948709O/scotchcast-resin-40-ds.pdf
14635641,SKU Accounting Flag,Build_011916_Altius
14635641,Brand,3M,
14635641,Application,Joint Movement,
14635641,Kit Contents,"Transparent Mold Shelves with Closure Cap (2), Scotchcast 40 Resin Bag with CMP, Ore-Cut Sealing Elements, Abrasive Sponge, Instruction Sheet",
